time,number,avg_dilation
592595,29700,0.02596624472573561
592615,29701,0.0699662447257361
592635,29702,0.0035337552742640277
592655,29703,0.06796624472573631
592675,29704,0.04496624472573574
592695,29705,0.053466244725736356
592715,29706,0.05353375527426385
592734,29707,0.01903375527426432
592754,29708,0.007033755274263864
592774,29709,0.024533755274263935
592794,29710,0.055533755274264074
592814,29711,0.01703375527426454
592834,29712,0.05553375527426452
592854,29713,0.04753375527426407
592874,29714,0.05553375527426363
592894,29715,0.0034662447257365336
592914,29716,0.039966244725735844
592934,29717,0.042033755274264006
592954,29718,0.014033755274263982
592974,29719,0.018533755274264152
592994,29720,0.06303375527426391
593014,29721,0.0050337552742640845
593034,29722,0.006533755274264141
593053,29723,0.03803375527426445
593073,29724,0.018033755274263985
593093,29725,0.004033755274264195
593113,29726,0.016033755274264205
593133,29727,0.0034662447257365336
593153,29728,0.03853375527426417
593173,29729,0.0210337552742641
593193,29730,0.0785337552742642
593213,29731,0.09953375527426411
593233,29732,0.1095337552742639
593253,29733,0.06653375527426375
593273,29734,0.09753375527426433
593293,29735,0.054533755274264184
593313,29736,0.02203375527426399
593333,29737,0.03803375527426356
593353,29738,0.09003375527426405
593372,29739,0.11103375527426396
593392,29740,0.09903375527426395
593412,29741,0.050033755274264013
593432,29742,0.008033755274264198
593452,29743,0.0785337552742642
593472,29744,0.06553375527426386
593492,29745,0.006466244725735759
593512,29746,0.08653375527426377
593532,29747,0.0050337552742640845
593552,29748,0.11953375527426369
593572,29749,0.09853375527426378
593592,29750,0.08803375527426427
593612,29751,0.07953375527426365
593632,29752,0.015033755274263871
593652,29753,0.05103375527426435
593672,29754,0.029033755274264106
593691,29755,0.07403375527426403
593712,29756,0.037966244725736065
593731,29757,0.08253375527426421
593751,29758,0.02253375527426371
593771,29759,0.006466244725735759
593791,29760,0.06703375527426392
593811,29761,0.05953375527426408
593831,29762,0.09003375527426405
593851,29763,0.09603375527426428
593871,29764,0.10153375527426389
593891,29765,0.04253375527426373
593911,29766,0.07253375527426398
593931,29767,0.07503375527426437
594050,29773,0.10003375527426384
594070,29774,0.11903375527426396
594090,29775,0.08003375527426382
594110,29776,0.1355337552742637
594130,29777,0.1980337552742637
594150,29778,0.18053375527426452
594170,29779,0.18053375527426407
594190,29780,0.16103375527426378
594210,29781,0.15953375527426372
594230,29782,0.14553375527426438
594250,29783,0.1540337552742641
594270,29784,0.096533755274264
594290,29785,0.11203375527426385
594310,29786,0.14003375527426387
594330,29787,0.10803375527426384
594350,29788,0.1410337552742642
594369,29789,0.06403375527426425
594389,29790,0.038033755274264
594409,29791,0.0780337552742636
594429,29792,0.034033755274264
594449,29793,0.09503375527426394
594469,29794,0.16303375527426356
594489,29795,0.1435337552742637
594509,29796,0.09303375527426416
