number,time,duration,screen_x,screen_y,avg_dilation
568,201230,100,56,558,
569,201689,578,65,577,0.209966245
570,202287,279,4,580,0.100533755
571,202586,399,38,590,0.298966245
572,203084,120,172,259,0.265466245
573,203224,139,238,236,0.272466245
574,203383,977,52,247,0.157033755
575,204420,159,81,649,0.132033755
576,204599,160,88,606,0.130533755
577,204779,279,42,571,0.104033755
578,205078,578,84,612,0.122966245
579,205676,140,46,624,0.071966245
580,205836,279,44,614,0.144966245
581,206174,319,121,613,0.074533755
582,206633,319,115,623,0.106033755
583,206972,120,95,617,0.053033755
584,207112,159,151,619,0.063533755
585,207371,499,83,608,0.165033755
586,207889,259,59,643,0.083033755
587,208168,778,91,602,0.087533755
588,209085,498,33,607,0.173033755
589,209624,239,97,609,0.153966245
590,209883,319,116,639,0.149966245
591,210262,239,57,584,0.192966245
592,210521,479,57,592,0.186466245
593,211019,479,106,616,0.212466245
594,211558,279,109,664,0.105466245
595,211897,1176,57,554,0.079466245
596,213093,239,55,534,0.087533755
597,213352,219,96,533,0.124033755
598,213751,379,20,540,0.138533755
599,214149,379,83,556,0.145533755
600,214608,179,97,578,0.081533755
601,214947,279,29,532,0.145033755
602,215246,319,52,531,0.151533755
603,215585,259,81,551,0.160533755
604,215864,319,55,555,0.168033755
605,216203,279,66,528,0.194533755
606,216542,179,119,590,0.156533755
607,216741,478,79,597,0.157033755
608,217240,239,82,616,0.156033755
609,217499,459,40,574,0.122533755
610,217997,219,23,571,0.131533755
611,218237,817,88,612,0.166033755
612,219134,120,174,575,0.124033755
613,219273,379,76,604,0.229033755
614,219672,339,39,597,0.187533755
615,220031,379,92,611,0.096033755
616,220430,538,115,639,0.237533755
617,220988,319,35,616,0.255533755
618,221387,120,107,616,0.112033755
619,221526,219,100,616,0.136533755
620,221825,140,96,645,0.283033755
621,222025,977,111,629,0.219033755
622,223062,160,61,601,0.060966245
623,223560,578,112,657,0.124533755
624,224218,100,719,532,0.054033755
625,224637,120,167,281,0.245533755
626,224836,239,57,229,0.216033755
627,225095,160,35,254,0.225533755
628,225334,100,211,253,0.259533755
629,225454,319,241,239,0.259533755
630,225833,180,51,241,0.175033755
631,226132,140,677,563,0.053533755
632,226371,140,708,546,0.210033755
633,226531,140,702,541,0.195033755
634,226750,219,684,524,0.155033755
635,226989,159,694,528,0.179533755
636,227169,179,653,527,0.216033755
637,227448,120,669,540,0.146533755
638,227587,140,675,532,0.089033755
639,227747,299,740,563,0.104533755
640,228066,179,742,555,0.192533755
641,228365,239,719,543,0.211533755
642,228644,180,717,541,0.199033755
643,228843,179,784,535,0.155033755
644,229123,100,740,549,0.111533755
645,229242,160,691,537,0.161033755
646,229422,180,686,555,0.167533755
647,229661,179,719,579,0.149033755
648,229960,179,749,576,0.185033755
649,230159,259,730,557,0.214033755
650,230438,319,700,566,0.187033755
651,230777,279,752,569,0.099033755
652,231216,479,725,554,0.154533755
653,231834,319,697,523,0.151533755
654,232173,160,752,558,0.071533755
655,232352,239,744,552,0.135533755
656,232691,439,91,626,0.215533755
657,233150,279,47,630,0.184533755
658,233449,100,84,615,0.140033755
659,233708,279,703,556,0.089533755
660,234007,219,748,565,0.048966245
661,234247,339,707,585,0.111966245
662,234805,199,734,558,0.227466245
663,235044,498,701,574,0.155966245
664,235822,439,719,571,0.531966245
665,236300,100,706,571,0.072033755
666,236420,199,754,590,0.092033755
667,236639,219,800,609,0.121466245
668,236978,219,771,630,0.111466245
669,237297,180,701,600,0.086533755
670,237516,239,755,599,0.127966245
671,237875,219,776,666,0.120466245
672,238134,179,771,679,0.121966245
673,238334,140,777,683,0.081033755
674,238573,279,730,570,0.206033755
675,238912,778,698,526,0.202533755
676,239729,120,759,686,0.096533755
677,240347,419,762,540,0.491466245
