,time,event,event_key,data1,data2,description
338,834508,LMouseButton,1,674,531,
339,839014,LMouseButton,1,474,229,
340,847657,LMouseButton,1,149,261,
341,848275,LMouseButton,1,150,272,
342,854166,LMouseButton,1,104,261,
343,854625,LMouseButton,1,105,265,
344,854974,LMouseButton,1,105,265,
345,855574,Keyboard,3,160,0,LShiftKey
346,855958,Keyboard,3,67,0,c
347,856272,Keyboard,3,79,0,o
348,856512,Keyboard,3,78,0,n
349,856786,Keyboard,3,84,0,t
350,856976,Keyboard,3,82,0,r
351,857141,Keyboard,3,73,0,i
352,857423,Keyboard,3,66,0,b
353,857526,Keyboard,3,85,0,u
354,857741,Keyboard,3,84,0,t
355,857939,Keyboard,3,73,0,i
356,858113,Keyboard,3,79,0,o
357,858299,Keyboard,3,78,0,n
358,859630,LMouseButton,1,276,269,
359,860138,LMouseButton,1,280,268,
360,860617,LMouseButton,1,281,267,
361,860856,LMouseButton,1,281,267,
362,861285,Keyboard,3,160,0,LShiftKey
363,861644,Keyboard,3,68,0,D
364,861932,Keyboard,3,79,0,o
365,862068,Keyboard,3,67,0,c
366,862212,Keyboard,3,85,0,u
367,862423,Keyboard,3,77,0,m
368,862572,Keyboard,3,69,0,e
369,862666,Keyboard,3,78,0,n
370,862786,Keyboard,3,84,0,t
371,864016,LMouseButton,1,108,286,
372,865073,LMouseButton,1,111,287,
373,871583,LMouseButton,1,698,598,
374,872540,LMouseButton,1,698,598,
375,881124,LMouseButton,1,292,276,
376,881563,LMouseButton,1,296,275,
377,881722,LMouseButton,1,296,275,
378,882061,LMouseButton,1,297,270,
379,882221,LMouseButton,1,297,269,
380,882960,Keyboard,3,8,0,
381,883487,LMouseButton,1,180,258,
382,883926,LMouseButton,1,173,267,
383,884215,LMouseButton,1,173,267,
384,884354,LMouseButton,1,173,267,
385,884739,Keyboard,3,8,0,
386,887594,LMouseButton,1,45,554,
387,888472,LMouseButton,1,41,580,
388,890784,LMouseButton,1,681,534,
389,891502,LMouseButton,1,673,552,
390,894085,LMouseButton,1,66,612,
391,897394,LMouseButton,1,697,567,
392,898122,LMouseButton,1,694,581,
393,899279,LMouseButton,1,694,581,
394,902120,LMouseButton,1,1107,183,
395,911731,LMouseButton,1,117,282,
396,912379,LMouseButton,1,115,266,
397,912539,LMouseButton,1,115,266,
398,913158,Keyboard,3,160,0,LShiftKey
399,913609,Keyboard,3,83,0,S
400,913935,Keyboard,3,79,0,o
401,914337,Keyboard,3,67,0,c
402,914469,Keyboard,3,73,0,i
403,914596,Keyboard,3,65,0,a
404,914716,Keyboard,3,76,0,l
405,914852,Keyboard,3,32,0,Space
406,914967,Keyboard,3,160,0,LShiftKey
407,915264,Keyboard,3,69,0,E
408,915556,Keyboard,3,86,0,v
409,915729,Keyboard,3,69,0,e
410,915819,Keyboard,3,78,0,n
411,915961,Keyboard,3,84,0,t
412,917025,LMouseButton,1,270,270,
413,917364,LMouseButton,1,270,269,
414,917864,Keyboard,3,160,0,LShiftKey
415,918365,Keyboard,3,83,0,S
416,918665,Keyboard,3,79,0,o
417,918884,Keyboard,3,67,0,c
418,918991,Keyboard,3,73,0,i
419,919098,Keyboard,3,65,0,a
420,919259,Keyboard,3,76,0,l
421,919370,Keyboard,3,32,0,Space
422,919464,Keyboard,3,160,0,LShiftKey
423,919690,Keyboard,3,69,0,E
424,919924,Keyboard,3,86,0,v
425,920085,Keyboard,3,69,0,e
426,920196,Keyboard,3,78,0,n
427,920307,Keyboard,3,84,0,t
428,923824,LMouseButton,1,172,283,
429,925528,LMouseButton,1,38,577,
430,926625,LMouseButton,1,40,599,
431,928370,LMouseButton,1,676,546,
432,930095,LMouseButton,1,675,586,
