number,time,duration,screen_x,secrren_y
555,283704,100,1041,527
556,284581,179,968,492
557,284780,100,1011,485
558,284900,100,1013,480
559,285119,379,940,566
560,285538,120,1024,558
561,285757,239,1047,528
562,286096,140,234,242
563,286255,1416,293,206
564,287731,199,520,213
565,287950,140,499,214
566,288110,538,500,214
567,288668,1037,674,210
568,289725,379,573,240
569,290123,160,567,242
570,290323,179,317,219
571,290522,279,270,206
572,290841,239,66,230
573,291140,179,746,232
574,291340,100,707,222
575,291479,219,820,219
576,291798,120,851,239
577,291978,179,699,234
578,292177,339,762,229
579,292556,219,691,241
580,292895,100,760,242
581,293094,140,865,255
582,296184,419,99,229
583,297520,120,957,396
584,298118,140,1040,612
585,300451,219,703,187
586,300730,339,422,462
587,301129,100,532,426
588,301268,199,536,427
589,301488,219,538,511
590,301727,139,377,460
591,301926,239,59,207
592,302225,140,38,215
593,302385,638,89,210
594,303043,199,42,214
595,303282,219,83,190
596,303521,279,107,224
597,303820,498,270,221
598,304339,219,305,223
599,304718,319,60,223
600,305057,379,103,222
601,305515,299,559,445
602,305834,279,426,450
603,306153,299,507,466
604,306512,199,602,496
605,306911,100,369,606
606,307110,120,396,606
607,307290,359,451,615
608,308147,279,528,598
609,308645,140,529,675
610,308805,140,538,680
611,309044,140,524,679
612,309243,180,519,740
613,309483,499,517,592
614,310081,119,635,666
615,310260,239,622,654
616,310519,160,669,655
617,310918,199,656,700
618,311317,159,596,727
619,311496,120,661,678
620,312134,180,674,688
621,312513,359,506,736
622,312992,139,540,708
623,313151,139,489,733
624,313311,100,500,723
625,313430,139,486,744
626,313590,379,529,692
627,314008,100,532,694
628,314407,120,617,774
629,314666,119,478,621
630,314846,120,499,601
631,314985,100,504,592
632,315105,199,509,599
633,315324,359,513,591
634,315883,199,421,550
635,316182,219,382,590
636,316421,140,384,586
637,316580,199,477,587
638,316879,120,523,600
639,317039,120,519,602
640,317238,159,449,622
641,317498,159,471,551
642,317717,299,470,524
643,318375,159,595,487
644,318554,120,595,485
645,318714,299,656,477
646,319272,100,543,521
647,319411,279,575,470
648,320329,379,608,470
649,320727,160,727,450
650,320927,219,667,493
651,321266,140,768,558
652,321425,120,675,551
653,321864,100,601,562
654,321983,279,586,561
655,322821,139,629,643
656,322980,239,590,629
657,323240,120,606,620
658,323379,139,556,622
659,323578,140,656,664
660,323798,219,608,632
661,324436,219,657,476
662,324715,100,578,632
663,324834,578,608,640
664,325692,160,642,670
665,326031,180,268,178
666,326290,140,533,631
667,326469,379,544,640
668,327526,100,607,649
669,328005,159,596,588
670,328204,259,599,567
671,328483,578,584,493
672,329081,160,652,477
673,329560,159,580,481
674,329739,279,616,466
675,330058,180,509,479
676,330257,100,462,523
677,330377,339,455,518
678,330736,140,438,531
679,331035,319,636,486
680,331932,159,114,227
681,332211,120,519,547
682,332351,299,572,534
683,332670,120,566,551
684,332849,180,600,480
685,333069,120,526,554
686,333268,120,477,630
687,333567,120,504,592
688,333707,100,559,600
689,333846,140,470,601
690,334105,319,504,599
691,334604,139,503,599
692,334763,379,503,614
693,335401,199,470,668
694,335720,159,499,701
695,336000,120,485,690
696,336239,160,573,677
697,336418,100,477,674
698,336538,120,475,680
699,336817,219,475,683
700,337076,259,471,683
701,337355,279,481,676
702,337734,399,532,547
703,338213,140,488,690
704,338372,459,499,598
705,338851,159,476,677
706,339110,120,641,665
707,339389,120,452,665
708,339588,459,511,592
709,340067,140,510,591
710,340326,140,475,619
711,340485,100,441,711
712,340725,319,458,685
713,341163,100,548,597
714,341323,219,601,601
715,341662,100,595,604
716,341921,140,625,591
717,342120,219,593,591
718,342479,259,508,512
719,342758,120,510,532
720,342898,279,498,612
721,343217,140,505,588
722,343456,439,471,585
723,344174,180,519,488
724,344493,100,533,492
725,344672,199,498,498
726,345091,140,507,488
727,345370,159,503,486
728,345550,379,502,492
729,346008,319,486,624
730,346666,498,473,563
731,347184,159,484,547
732,347404,179,463,675
733,347902,518,533,499
734,348859,180,523,508
735,349158,319,515,602
736,349497,159,512,604
737,349736,180,499,573
738,349936,100,483,569
739,350255,219,471,693
740,350494,140,402,699
741,350733,180,413,613
742,351371,100,604,687
743,351491,179,581,648
744,351710,179,594,722
745,351910,100,569,715
746,352587,199,91,202
747,352807,199,48,222
748,353026,578,44,222
749,353644,100,255,223
750,353764,239,369,232
751,354103,1077,102,238
752,355439,100,555,721
753,355817,100,504,624
754,356136,100,543,612
755,356415,259,465,628
756,356994,219,620,656
757,357233,259,665,654
758,358010,160,643,583
759,358190,199,646,585
760,358928,160,644,594
761,359287,399,625,576
762,359924,259,508,538
763,360204,259,483,523
764,360582,319,478,533
765,360921,140,475,519
766,361081,299,530,519
767,361400,518,447,602
768,361978,100,455,600
769,362118,339,450,606
770,362496,100,533,576
771,362616,379,527,584
772,363015,140,531,590
773,363234,120,524,592
774,363394,518,551,512
775,363932,179,556,592
776,364231,119,561,587
777,364470,119,557,506
778,364610,160,596,509
779,364789,259,602,507
780,365068,180,455,515
781,365367,140,510,521
782,365666,100,444,489
783,365985,120,431,519
784,366165,179,438,508
785,366364,140,523,555
786,366524,159,522,535
787,366703,140,514,531
788,367062,179,555,589
789,367301,239,484,632
790,367560,199,452,628
791,367780,179,462,543
792,367979,159,464,531
793,368218,100,531,546
794,368418,140,536,547
795,368717,179,552,530
796,368916,319,605,521
797,369335,120,518,502
798,369534,120,553,529
799,370212,120,588,420
800,370352,179,592,410
801,370551,199,601,414
802,370770,219,616,411
803,371050,100,664,472
804,371508,239,727,511
805,371827,100,664,514
806,372007,120,652,518
807,372266,140,650,493
808,372605,100,664,511
809,372844,140,638,595
810,373422,100,645,591
811,373602,140,755,437
812,373801,339,834,433
813,374200,638,721,429
814,375695,319,622,616
815,376632,140,607,611
816,377011,279,722,437
817,377589,279,719,436
818,377888,180,711,435
819,378088,319,721,429
820,378546,120,767,359
821,378686,100,690,356
822,378825,1037,680,349
823,379882,578,668,349
824,380480,319,704,401
825,380819,498,674,363
826,381377,279,717,425
827,381676,379,730,437
828,382294,100,662,520
829,382793,100,744,487
830,383211,199,593,516
831,383590,120,549,526
832,383730,180,516,613
833,384009,140,525,609
834,384168,199,522,596
835,384507,140,443,565
836,385026,219,538,614
837,412001,419,588,361
838,412659,120,518,439
839,412799,140,511,429
840,413038,239,418,543
841,413297,399,461,529
842,413895,140,391,523
843,414394,239,525,550
844,414992,100,580,537
845,415191,518,593,514
846,415749,219,588,519
847,416049,379,501,417
848,416447,120,488,399
849,416607,199,475,575
850,417145,179,600,557
851,417384,140,454,505
852,417544,419,445,497
853,418002,518,585,483
854,418541,160,502,458
855,418740,120,586,482
856,418880,319,594,471
857,419219,140,597,455
858,419378,518,559,483
859,419916,140,468,539
860,420076,219,480,510
861,420415,439,593,480
862,420873,319,670,516
863,421372,100,749,502
864,421571,120,688,470
865,421731,120,684,464
866,421990,100,552,495
867,422109,180,556,481
868,422349,179,554,491
869,422648,179,503,497
870,422887,120,463,210
871,423047,100,329,173
872,423206,299,203,169
873,423864,140,501,495
874,424024,120,499,500
875,424163,100,570,513
876,424562,140,494,512
877,424741,319,578,497
878,425120,279,627,502
879,425419,159,551,451
880,425599,199,580,407
881,425818,379,660,401
882,426217,299,568,412
883,426536,199,611,404
884,426755,100,618,417
885,426875,160,641,407
886,427233,299,547,421
887,427572,498,374,418
888,428111,259,453,398
889,428410,120,524,394
890,428549,120,684,346
891,428689,359,699,345
892,429108,259,412,404
893,429466,239,458,411
894,429766,119,509,402
895,430065,518,409,405
896,430603,239,459,373
897,430862,120,505,341
898,431002,239,549,306
899,431261,139,586,318
900,431520,100,490,517
901,431799,100,581,500
902,432058,159,423,504
903,432258,180,421,506
904,432497,100,506,509
905,432636,140,509,499
906,432856,120,486,382
907,432995,518,470,328
908,433633,139,465,337
909,433793,140,471,328
910,433952,578,551,296
911,434550,977,565,297
912,435587,120,396,448
913,435787,319,423,426
914,436125,160,412,527
915,436305,100,410,503
916,436684,718,396,423
917,437461,100,406,433
918,437621,239,391,503
919,437880,120,394,505
920,438040,159,386,514
921,438219,339,380,503
922,438578,120,354,444
923,438717,279,351,429
924,439415,957,348,429
925,440472,399,363,365
926,440911,159,406,343
927,441190,239,446,340
928,441469,200,537,329
929,441688,239,456,387
930,441947,319,545,382
931,442286,219,511,387
932,442825,140,418,354
933,442984,120,331,369
934,443283,179,513,304
935,443542,219,436,390
936,443801,279,518,391
937,444101,259,515,396
938,444380,678,419,347
939,445077,379,424,355
940,445476,399,346,425
941,445895,478,372,431
942,446393,159,369,434
943,446573,439,427,500
944,447111,100,501,524
945,447271,698,415,516
946,448028,219,402,527
947,448387,379,470,531
948,448786,259,544,527
949,449065,100,459,450
950,449284,558,458,447
951,449862,180,535,626
952,450102,199,576,559
953,450560,299,493,688
954,453092,120,463,525
955,454109,100,588,505
956,454308,100,507,519
957,454428,100,500,507
958,455485,199,537,423
959,455744,179,640,422
960,455943,120,592,413
961,456103,239,586,413
962,468584,120,647,579
963,468883,279,609,572
964,469182,199,612,579
965,469421,140,672,594
966,469780,100,585,519
967,469979,498,548,501
968,470518,100,729,621
969,470697,120,701,586
970,470996,120,753,602
971,471594,159,805,528
972,471873,399,676,654
973,472292,120,669,655
974,472432,219,665,639
975,473309,100,695,668
976,473608,100,619,613
977,473728,219,633,682
978,474007,219,678,651
979,474426,100,625,673
980,474645,160,705,657
981,475083,140,594,593
982,475243,279,631,571
983,475542,179,699,592
984,476379,239,685,660
985,476858,120,569,539
986,477177,179,676,530
987,477376,100,682,547
988,477556,120,625,588
989,478353,180,502,106
990,478652,100,692,545
991,478951,120,693,498
992,479111,120,795,504
993,479450,499,765,495
994,479968,259,770,454
995,481164,159,818,501
996,481483,100,799,500
997,481663,120,665,620
998,482002,120,719,641
999,482719,140,683,586
1000,483078,179,665,662
1001,483278,179,723,445
1002,483497,160,741,404
1003,483676,139,750,536
1004,483836,179,773,497
1005,484035,179,844,509
1006,484514,140,598,538
1007,484673,179,580,491
1008,484873,319,561,512
1009,485212,180,620,507
1010,485411,339,582,507
1011,485770,379,607,485
1012,486288,160,605,495
1013,486567,140,556,503
1014,486767,199,590,490
1015,490356,120,594,350
1016,490495,498,594,417
1017,491013,199,601,416
1018,491273,179,527,373
1019,491472,219,493,334
1020,492010,179,656,349
1021,492210,339,664,435
1022,492628,180,585,430
1023,492908,439,645,541
1024,493366,140,688,521
1025,493645,100,626,546
1026,493884,160,669,429
1027,494064,180,672,437
1028,494303,279,606,426
1029,494602,279,659,433
1030,494921,180,659,432
1031,495200,219,656,438
1032,495440,459,566,427
1033,495998,199,579,420
1034,496217,120,641,434
1035,496357,658,706,382
1036,497035,339,661,330
1037,497393,339,762,334
1038,497792,180,815,498
1039,498091,119,735,506
1040,498390,319,823,510
1041,498809,199,621,419
1042,499028,140,721,464
1043,499188,100,785,510
1044,499347,160,839,505
1045,499527,160,746,506
1046,499786,319,694,346
1047,500125,478,653,340
1048,500623,558,698,332
1049,501221,279,693,261
1050,501520,160,596,339
1051,501700,279,574,319
1052,501999,120,581,371
1053,502139,120,587,367
1054,502278,299,658,356
1055,502617,239,611,280
1056,502876,319,675,389
1057,503275,100,608,266
1058,503395,359,627,284
1059,503813,458,574,317
1060,504292,399,570,364
1061,504711,259,644,368
1062,504990,718,550,373
1063,505727,279,550,369
1064,506026,120,478,440
1065,506186,379,487,372
1066,506585,100,648,393
1067,506784,259,671,377
1068,507063,199,746,378
1069,507302,498,647,382
1070,507821,180,457,340
1071,508060,139,571,376
1072,508220,518,554,355
1073,508758,339,496,379
1074,509117,478,526,370
1075,509615,219,519,339
1076,509854,199,559,327
1077,510074,618,456,341
1078,510752,179,569,333
1079,510951,120,568,336
1080,511090,159,397,396
1081,511270,200,453,380
1082,511489,239,495,408
1083,511848,479,369,417
1084,512347,419,404,415
1085,512845,179,501,404
1086,513144,180,411,405
1087,513343,339,500,348
1088,513702,239,460,342
1089,513962,459,592,331
1090,514440,100,595,333
1091,514560,259,684,340
1092,514839,578,656,341
1093,516673,100,530,335
1094,516812,179,547,311
1095,517052,120,582,427
1096,517191,319,572,418
1097,517849,140,759,491
1098,518009,199,765,510
1099,518428,219,771,508
1100,518707,279,695,514
1101,519065,100,795,535
1102,519225,160,637,583
1103,519424,159,585,582
1104,519604,479,579,579
1105,520102,379,521,515
1106,520501,179,550,459
1107,520700,578,594,482
1108,521298,120,590,467
1109,521817,140,567,424
1110,521976,219,560,437
1111,522216,478,614,437
1112,522714,279,556,431
1113,523053,139,589,417
1114,523213,140,546,392
1115,523472,279,493,382
1116,523771,279,554,385
1117,524209,100,487,384
