number,time,duration,screen_x,secrren_y
686,243159,758,104,621
687,243936,199,89,625
688,244175,140,143,603
689,244594,239,114,612
690,244933,239,769,583
691,245192,339,694,521
692,245611,120,793,582
693,245930,179,297,260
694,246129,139,458,213
695,246289,379,431,226
696,246727,179,22,245
697,246927,179,65,244
698,247146,199,285,245
699,247465,778,591,228
700,248322,279,428,220
701,248621,399,490,263
702,249040,658,437,228
703,250216,179,680,384
704,250476,219,261,361
705,250735,180,112,246
706,250934,359,41,255
707,251532,160,460,235
708,251712,439,403,250
709,252210,279,253,255
710,252529,578,434,246
711,253207,419,67,272
712,253646,518,44,272
713,254324,498,42,269
714,254862,339,325,257
715,255221,199,432,261
716,255620,179,626,431
717,255859,140,256,394
718,256038,259,229,236
719,256317,199,414,245
720,256616,379,29,273
721,257015,100,168,256
722,257135,479,241,260
723,258112,179,66,633
724,258311,239,80,626
725,258610,498,39,606
726,259129,917,65,576
727,260066,1774,41,585
728,261860,718,48,596
729,262598,299,102,611
730,262917,299,15,549
731,263236,339,63,541
732,263594,279,10,554
733,263894,598,80,560
734,264512,159,48,556
735,264731,180,97,200
736,264930,100,37,218
737,265190,219,88,534
738,265429,199,45,551
739,265648,219,102,584
740,265887,179,69,577
741,266087,977,39,531
742,267084,1097,62,597
743,268200,359,8,609
744,268579,179,83,657
745,268778,778,84,647
746,269576,179,81,645
747,269795,758,50,244
748,270593,179,220,250
749,270872,120,73,687
750,271011,259,82,654
751,271370,219,714,585
752,271709,100,771,585
753,271829,140,739,560
754,271988,199,671,535
755,272208,1057,704,525
756,273284,219,709,583
757,273563,299,684,552
758,273902,100,667,530
759,274022,239,667,527
760,274281,159,684,579
761,274460,299,696,573
762,274859,419,664,581
763,275298,239,705,597
764,275577,179,740,595
765,275776,100,712,640
766,275956,140,707,628
767,276115,259,753,622
768,276394,239,718,623
769,276694,299,76,645
770,277371,359,717,618
771,277890,140,738,636
772,278069,259,719,638
773,278448,199,79,673
774,278807,180,65,663
775,279006,160,34,628
776,279186,219,99,661
777,279804,179,76,630
778,281857,179,728,623
779,290191,120,70,609
780,294518,119,73,672
781,294677,120,58,630
782,296053,140,113,696
783,296292,159,85,682
784,297010,199,83,760
785,297349,179,84,745
786,297568,100,147,735
787,297807,100,101,749
788,298086,140,103,743
789,298385,160,148,740
790,298605,120,87,760
791,299123,319,90,682
792,299482,179,83,638
793,299721,140,86,636
794,300280,219,731,636
795,300658,120,736,607
796,300858,100,834,617
797,301575,219,738,646
798,301815,120,757,659
799,301954,140,796,667
800,302572,159,758,670
801,302851,100,734,675
802,303370,120,675,383
803,303888,239,445,243
804,304147,339,587,261
805,304506,319,583,254
806,304865,259,35,266
807,305364,359,559,254
808,305742,179,556,272
809,305942,179,564,268
810,306141,179,556,267
811,306540,299,39,282
812,307158,100,594,275
813,307337,100,463,263
814,307557,179,436,268
815,307776,239,427,224
816,308055,160,99,261
817,308235,678,49,251
818,308952,179,314,243
819,309152,558,261,247
820,309730,877,64,234
821,310647,160,326,232
822,310826,678,245,238
823,311564,160,13,245
824,311744,160,47,246
825,311983,219,65,589
826,312342,159,391,308
827,312521,120,444,270
828,312780,179,423,203
829,313339,359,660,275
830,313817,180,3,606
831,314016,120,56,593
832,314156,339,56,587
833,314754,239,69,574
834,315213,279,11,595
835,315651,120,34,596
836,315791,100,33,599
837,316010,379,36,598
838,316409,399,92,621
839,316828,159,14,614
840,317147,239,21,620
841,317525,160,46,609
842,317705,199,66,567
843,318104,199,68,582
844,318343,179,63,530
845,318542,259,41,565
846,318901,179,8,586
847,320097,279,30,602
848,320416,120,55,609
849,320556,160,96,636
850,320755,219,34,629
851,321154,120,131,661
852,321294,379,107,641
853,321712,419,100,629
854,322191,200,99,633
855,322490,179,40,604
856,322809,299,77,598
857,323307,159,39,602
858,323527,160,35,596
859,324205,160,70,616
860,324384,279,33,619
861,324703,279,36,634
862,325201,299,103,644
863,325600,179,75,621
864,325919,140,137,639
865,326298,120,734,602
866,326477,100,723,611
867,326776,199,663,587
868,327036,199,698,566
869,327275,299,666,567
870,327594,160,704,568
871,328072,279,655,567
872,328391,120,736,592
873,328830,259,734,596
874,329588,180,697,544
875,329807,100,706,553
876,329927,140,695,541
877,330305,538,665,534
878,330903,239,729,576
879,331163,140,727,572
880,331322,159,720,535
881,331561,239,670,553
882,331860,180,731,577
883,332080,100,724,583
884,332200,159,751,578
885,332379,199,710,570
886,332618,159,706,575
887,332977,199,777,561
888,333356,179,361,218
889,333575,120,456,268
890,333715,518,428,240
891,334373,160,452,237
892,334692,100,459,229
893,335250,100,614,248
894,335489,139,196,242
895,335649,100,326,235
896,335788,439,452,244
897,336247,180,554,247
898,336805,239,589,247
899,337064,120,573,244
900,337244,179,322,241
901,337443,139,256,251
902,337662,180,565,230
903,337882,239,446,233
904,338161,518,431,251
905,339955,179,463,211
906,341251,279,418,247
907,341550,419,420,232
908,341989,219,419,193
909,342248,160,422,196
910,342627,1774,421,247
911,345677,140,508,228
912,345877,279,440,244
913,346176,120,444,232
914,346375,299,433,272
915,346694,259,425,248
916,347013,798,425,244
917,348050,957,433,246
918,349027,578,433,240
919,349665,160,68,264
920,349844,219,33,260
921,350123,179,274,273
922,350323,339,237,264
923,351060,299,81,636
924,351519,140,33,581
925,351678,518,23,580
926,352356,140,62,567
927,352615,678,35,545
928,353313,279,44,585
929,353612,299,67,594
930,353931,259,11,594
931,354868,160,86,616
932,355048,100,95,599
933,355207,299,27,599
934,355546,199,54,611
935,355786,160,53,615
936,355985,160,97,670
937,356304,179,87,701
938,356503,139,81,697
939,356723,319,77,738
940,357261,179,2,552
941,357460,140,24,605
942,357680,160,55,599
943,358537,179,43,557
944,359255,199,58,562
945,359494,160,56,560
946,359793,100,22,573
947,360032,279,75,617
948,360331,100,86,595
949,360570,299,75,601
950,361268,558,92,620
951,361926,180,46,618
952,362185,379,102,613
953,362604,339,113,628
954,362963,199,95,635
955,363182,120,94,630
956,363382,319,86,619
957,363780,100,735,580
958,363920,179,727,561
959,364179,140,665,538
960,364339,259,685,535
961,364718,179,170,230
962,364917,179,269,246
963,365116,339,234,252
964,365515,339,35,258
965,365914,199,358,244
966,366153,239,487,74
967,366771,279,560,62
968,367070,578,565,-3
969,367788,139,365,123
970,367947,160,290,270
971,368147,279,67,297
972,368446,159,48,286
973,368625,179,307,297
974,368825,219,241,288
975,369243,259,703,656
976,369782,219,733,586
977,370061,459,730,571
978,370539,120,724,560
979,370719,120,750,563
980,371018,120,698,572
981,371157,179,700,558
982,371357,239,783,577
983,371716,239,696,537
984,372154,140,731,541
985,372314,120,669,541
986,372513,379,704,520
987,373171,120,725,615
988,373310,598,714,597
989,373929,199,718,609
990,374168,379,717,595
991,374706,239,667,589
992,375105,279,715,550
993,375504,279,688,530
994,375803,598,710,565
995,376421,179,779,574
996,376740,139,838,573
997,376899,100,722,573
998,377398,199,88,617
999,377617,199,59,583
1000,377836,139,88,592
1001,377996,199,125,594
1002,378215,758,94,625
1003,379132,140,804,578
1004,379352,219,751,575
1005,379691,219,791,585
1006,379990,199,131,627
1007,380209,259,105,630
1008,381086,179,402,294
1009,381286,140,495,287
1010,381445,319,601,270
1011,381784,140,524,281
1012,381983,319,580,273
1013,382402,159,593,273
1014,382581,179,602,273
1015,382781,219,598,279
1016,383120,399,500,221
1017,383538,120,497,221
1018,383678,778,500,226
1019,384476,219,413,272
1020,384795,100,617,253
1021,384914,120,644,235
1022,385373,279,15,290
1023,385672,279,57,275
1024,385971,219,332,277
1025,386270,239,26,267
1026,386689,558,438,192
1027,387287,279,29,202
1028,387586,259,25,171
1029,387865,100,23,166
1030,388104,359,442,142
1031,388563,199,20,174
1032,388782,598,-7,192
1033,389560,140,1236,219
1034,389719,678,1285,192
1035,390457,219,1165,624
1036,390716,120,1192,502
1037,391155,120,74,594
1038,391454,180,51,644
1039,391773,359,47,171
1040,392251,239,1018,740
1041,392610,439,92,118
1042,393108,379,10,173
1043,393527,160,60,177
1044,393707,279,293,174
1045,394006,279,433,176
1046,394305,199,140,186
1047,394544,259,32,186
1048,394903,439,416,139
1049,395401,179,51,163
1050,395601,678,9,179
1051,396298,120,61,199
1052,396498,120,349,206
1053,396637,140,363,189
1054,396817,259,32,184
1055,397096,339,11,182
1056,397455,339,52,184
1057,397834,399,246,185
1058,398252,279,316,193
1059,398591,179,14,185
1060,398811,179,-8,311
1061,399189,199,66,581
1062,399588,179,20,591
1063,399807,140,42,605
1064,400047,179,12,569
1065,400346,319,45,568
1066,400725,439,47,569
1067,401283,179,10,543
1068,401602,199,72,547
1069,402001,160,21,544
1070,402200,160,23,542
1071,402379,139,71,560
1072,402539,140,71,546
1073,402698,259,72,565
1074,403177,179,22,512
1075,403376,180,39,536
1076,403815,140,11,576
1077,404074,199,56,592
1078,404413,200,100,596
1079,404672,279,36,583
1080,405211,159,58,545
1081,405729,239,65,605
1082,405988,259,60,606
1083,406327,219,30,603
1084,406766,479,62,621
1085,407324,120,78,717
1086,407464,279,71,706
1087,407882,199,12,588
1088,408261,279,66,610
1089,408680,100,63,611
1090,408799,140,34,618
1091,408999,140,4,619
1092,409696,120,52,596
1093,409836,199,59,599
1094,410075,319,82,614
1095,410494,239,19,612
1096,410773,259,24,619
1097,411292,100,85,629
1098,413106,120,91,710
1099,413405,140,43,713
1100,413564,120,42,697
1101,413804,180,81,728
1102,414003,319,109,735
1103,414342,339,43,726
1104,414800,678,84,736
1105,415498,379,96,745
1106,415957,179,79,710
1107,416156,459,74,650
1108,416635,259,74,645
1109,416914,219,77,685
1110,417153,379,82,678
1111,417552,120,83,653
1112,417751,139,44,574
1113,417911,259,42,576
1114,418190,179,26,607
1115,418489,140,73,608
1116,418967,120,76,635
1117,419107,100,111,725
1118,419246,100,106,724
1119,420064,100,35,651
1120,420443,100,56,669
1121,420582,140,59,661
1122,421021,259,47,601
1123,421360,279,56,565
1124,421679,239,29,603
1125,421938,100,54,615
1126,422137,100,57,619
1127,422496,618,77,748
1128,423134,179,88,683
1129,423354,219,38,601
1130,423673,299,68,612
1131,424031,379,32,604
1132,424430,180,84,612
1133,424729,379,37,596
1134,425128,279,40,601
1135,425467,140,41,589
1136,425626,179,62,583
1137,425886,319,21,587
1138,426424,199,58,570
1139,426743,259,73,604
1140,427042,977,24,578
1141,428039,299,100,606
1142,428358,439,82,613
1143,429136,359,89,686
1144,429514,100,-5,588
1145,429634,558,42,602
1146,430372,120,84,585
1147,430810,179,16,579
1148,431010,299,73,588
1149,431349,160,147,606
1150,431648,160,97,657
1151,432226,160,51,614
1152,432545,160,105,252
1153,432724,219,34,256
1154,432964,219,40,188
1155,433203,578,37,165
1156,433881,199,65,658
1157,434100,179,43,629
1158,434339,140,68,616
1159,434539,100,120,635
1160,434658,319,112,626
1161,435117,479,104,669
1162,435635,239,37,599
1163,435894,179,80,624
1164,436433,139,92,422
1165,436592,179,241,412
1166,436811,100,308,387
1167,437071,159,717,555
1168,437649,219,701,534
1169,438048,139,714,545
1170,438267,758,690,539
1171,439044,139,727,514
1172,439244,120,655,528
1173,439383,319,681,540
1174,439782,578,666,522
1175,440380,179,678,506
1176,440580,179,723,551
1177,440779,179,722,528
1178,440978,140,785,541
1179,441397,319,731,535
1180,441796,120,717,568
1181,441935,259,668,549
1182,442434,239,771,539
1183,443251,319,737,627
1184,443909,180,107,568
1185,444128,140,56,593
1186,444288,279,61,554
1187,444707,100,104,572
1188,444926,159,87,615
1189,445165,339,107,641
1190,445743,100,725,608
1191,445863,279,762,574
1192,446441,140,156,261
1193,446700,279,300,216
1194,446999,319,234,197
1195,447378,100,376,158
1196,447598,180,47,198
1197,447797,239,32,196
1198,448096,279,368,193
1199,448515,718,429,178
1200,449252,319,603,178
1201,449591,339,597,177
1202,450309,179,419,188
1203,450509,219,491,209
1204,450788,180,17,207
1205,450987,339,43,195
1206,451386,479,298,208
1207,451884,100,414,190
1208,452084,279,58,190
1209,452403,259,308,190
1210,452682,339,246,193
1211,453080,379,311,189
1212,453539,140,665,738
1213,453878,180,716,651
1214,454077,120,763,660
